name,address,latitude,longitude
Facebook,"770 Broadway, New York, NY 10003",40.730701,-73.991531
Amazon,"450 W 33rd St, New York, NY 10001",40.753052,-73.999443
Google,"111 8th Ave, New York, NY 10011",40.798939,-73.024742
Icreon,"597 5th Ave 12th floor, New York, NY 10017",40.82252,-73.80792
IBM,"590 Madison Ave, New York, NY 10022",40.76209,-73.97279
SalesForce,"1095 Avenue of the Americas, 6th Ave, New York, NY 10036",40.754749,-73.985008
Dataminr,"6 E 32nd St Floor 2, New York, NY 10016",40.74648,-73.98505
ThoughtWorks,"99 Madison Ave 15th Floor, New York, NY 10016",40.74387,-73.98609
Slack,"436 Lafayette St, New York, NY 10003",40.72934,-73.99213
Adobe,"1540 Broadway, New York, NY 10036",40.758072,-73.984848
Square,"375 W Broadway, New York, NY 10012",40.723419,-74.002258
Twitter,"249 W 17th St, New York, NY 10011",40.74153,-73.99989
TransferWise,"19 W 24th Street, New York, NY 10010",40.74303,-73.99045
MongoDB,"1633 Broadway 38th floor, New York, NY 10019",40.61087,-73.64399
Enigma Technologies,"245 5th Ave, New York, NY 10016",40.74445,-73.987259
Squarespace,"8 Clarkson St, New York, NY 10014",40.729622,-74.008377
Lyft,"245 W 17th St, New York, NY 10011",40.741428,-73.999649
Uber,"636 W 28th St, New York, NY 10001",40.75227,-74.005432
BetterCloud,"330 7th Ave 4th Floor, New York, NY 10001",40.75048,-73.99338
The Financial Gym,"134 W 25th St 2nd Floor, New York, NY 10001",40.74462,-73.99341
Integrated Financial Services,"363 7th Ave, New York, NY 10001",40.74848,-73.99208
Spotify,"185 Greenwich St, New York, NY 10007",40.71154,-74.011383
Private Financial Services Corporation,"570 Lexington Ave, New York, NY 10022",40.75727,-73.97256
Vimeo,"555 W 18th St, New York, NY 10011",40.74534,-74.00754
FourSquare,"50 W 23rd St, New York, NY 10010",40.705608,-74.016724
Airbnb,"627 Broadway, New York, NY",40.71305,-74.00723
TIAA Financial Services,"750 3rd Ave, New York, NY 10017",40.75382,-73.97274
Seamless,"1065 6th Ave, New York, NY 10018",40.754108,-73.985451
Principal Financial Group,"1155 6th Ave #11, New York, NY 10036",40.75666,-73.98336